Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file
ALIVE,2000-1048,K:LCD-2000-1048*1,Tillandsia polystachia,Tillandsia polystachia,Tillandsia,Bromeliaceae,,,,16-07-2024,TropicalNursery_Simplified.xlsx
ALIVE,1982-2008,K:LCD-1982-2008*4,Dracunculus canariensis,Dracunculus canariensis,Dracunculus,Araceae,,,,18-09-2024,TropicalNursery_Simplified.xlsx
ALIVE,1969-4395,K:LCD-1969-4395*1,Mammillaria longimamma,Mammillaria longimamma,Mammillaria,Cactaceae,,N - Natural Source and Progeny,Mexico,14-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2020-1328,K:LCD-2020-1328*1,Aloe komaggasensis,Aloe komaggasensis,Aloe,Asphodelaceae,,N - Natural Source and Progeny,South Africa,24-08-2022,TropicalNursery_Simplified.xlsx
ALIVE,1989-952,K:LCD-1989-952*1,Hibiscus ferrugineus,Hibiscus ferrugineus,Hibiscus,Malvaceae,,N - Natural Source and Progeny,Madagascar,12-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,1948-17503,K:LCD-1948-17503*1,Euphorbia heteropodum,Euphorbia heteropodum,Euphorbia,Euphorbiaceae,,N - Natural Source and Progeny,Tanzania,06-12-2023,TropicalNursery_Simplified.xlsx
ALIVE,2007-1342,K:LCD-2007-1342*1,Copiapoa longistaminea,Copiapoa longistaminea,Copiapoa,Cactaceae,,N - Natural Source and Progeny,Chile,10-10-2023,TropicalNursery_Simplified.xlsx
ALIVE,1982-3196,K:LCD-1982-3196*2,Melhania ebenus,Trochetiopsis ebenus,Trochetiopsis,Malvaceae,,,,06-11-2024,TropicalNursery_Simplified.xlsx
ALIVE,1969-51874,K:LCD-1969-51874*1,Pseuderanthemum tunicatum,Pseuderanthemum tunicatum,Pseuderanthemum,Acanthaceae,,,,17-08-2023,TropicalNursery_Simplified.xlsx
ALIVE,1981-749,K:LCD-1981-749*1,Aloe jucunda,Aloe jucunda,Aloe,Asphodelaceae,,N - Natural Source and Progeny,Somalia,05-01-2022,TropicalNursery_Simplified.xlsx
ALIVE,2020-1484,K:LCD-2020-1484*1,Grewia ribesioides,Grewia ribesioides,Grewia,Malvaceae,,N - Natural Source and Progeny,Madagascar,16-06-2023,TropicalNursery_Simplified.xlsx
ALIVE,2008-1911,K:LCD-2008-1911*1,Begonia salaziensis,Begonia salaziensis,Begonia,Begoniaceae,,N - Natural Source and Progeny,Mauritius,12-05-2022,TropicalNursery_Simplified.xlsx
ALIVE,2009-3667,K:LCD-2009-3667*2,Pittosporum pervillei,Pittosporum senacia subsp. pervillei,Pittosporum,Pittosporaceae,,N - Natural Source and Progeny,Madagascar,12-01-2023,TropicalNursery_Simplified.xlsx
ALIVE,1976-3795,K:LCD-1976-3795*3,Aeonium haworthii,Aeonium haworthii,Aeonium,Crassulaceae,,N - Natural Source and Progeny,Spain,06-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,1988-2466,K:LCD-1988-2466*1,Aloe millotii,Aloe millotii,Aloe,Asphodelaceae,,N - Natural Source and Progeny,Madagascar,13-06-2023,TropicalNursery_Simplified.xlsx
ALIVE,2023-0130,K:LCD-2023-0130*2,Frankenia portulacifolia,Frankenia portulacifolia,Frankenia,Frankeniaceae,,N - Natural Source and Progeny,"Saint Helena, Ascension, and Tristan da Cunha",15-01-2025,TropicalNursery_Simplified.xlsx
ALIVE,2017-1933,K:LCD-2017-1933*1,Maxillaria meleagris,Maxillaria meleagris,Maxillaria,Orchidaceae,,,,04-12-2024,TropicalNursery_Simplified.xlsx
ALIVE,1984-8223,K:LCD-1984-8223*1,Pitcairnia recurvata,Pitcairnia recurvata,Pitcairnia,Bromeliaceae,,N - Natural Source and Progeny,Mexico,31-01-2023,TropicalNursery_Simplified.xlsx
ALIVE,2008-1593,K:LCD-2008-1593*2,Utricularia macrorhiza,Utricularia macrorhiza,Utricularia,Lentibulariaceae,,,,17-03-2023,TropicalNursery_Simplified.xlsx
