Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file,Accession Date
ALIVE,1929-58508,K:LCD-1929-58508*2,Pachycereus pecten-aboriginum,Pachycereus pecten-aboriginum,Pachycereus,Cactaceae,,,,20-02-2024,TropicalNursery_Simplified.xlsx,1929
ALIVE,2007-1506,K:LCD-2007-1506*1,Soehrensia thelegonoides,Echinopsis thelegonoides,Echinopsis,Cactaceae,,,,11-01-2023,TropicalNursery_Simplified.xlsx,2007
ALIVE,1999-3001,K:LCD-1999-3001*1,Stanhopea connata,Stanhopea connata,Stanhopea,Orchidaceae,,,Ecuador,19-10-2021,TropicalNursery_Simplified.xlsx,1999
ALIVE,2004-2906,K:LCD-2004-2906*2,Thomasia petalocalyx,Thomasia petalocalyx,Thomasia,Malvaceae,,,,12-01-2025,TropicalNursery_Simplified.xlsx,2004
ALIVE,2014-2022,K:LCD-2014-2022*1,,Brugmansia 'Georgia Peach',Brugmansia,Solanaceae,,,,19-02-2024,TropicalNursery_Simplified.xlsx,2014
ALIVE,1983-2005,K:LCD-1983-2005*1,Anthurium maricense,Anthurium maricense,Anthurium,Araceae,,N - Natural Source and Progeny,Brazil,07-02-2024,TropicalNursery_Simplified.xlsx,1983
ALIVE,2002-499,K:LCD-2002-499*1,,Nymphaea 'Janice C. Wood',Nymphaea,Nymphaeaceae,,,,17-09-2004,TropicalNursery_Simplified.xlsx,2002
ALIVE,2003-444,K:LCD-2003-444*1,Stomatium villetii,Stomatium villetii,Stomatium,Aizoaceae,,N - Natural Source and Progeny,,19-12-2023,TropicalNursery_Simplified.xlsx,2003
ALIVE,1999-601,K:LCD-1999-601*1,Copiapoa coquimbana,Copiapoa coquimbana,Copiapoa,Cactaceae,,,,10-10-2023,TropicalNursery_Simplified.xlsx,1999
ALIVE,1980-2722,K:LCD-1980-2722*1,Bromelia serra,Bromelia serra,Bromelia,Bromeliaceae,,N - Natural Source and Progeny,Bolivia,08-08-2023,TropicalNursery_Simplified.xlsx,1980
ALIVE,1979-2735,K:LCD-1979-2735*1,Opuntia elata var. elata,Opuntia anacantha,Opuntia,Cactaceae,,N - Natural Source and Progeny,Argentina,28-12-2023,TropicalNursery_Simplified.xlsx,1979
ALIVE,1999-1725,K:LCD-1999-1725*1,Prosthechea vespa,Prosthechea vespa,Prosthechea,Orchidaceae,,,,17-01-2025,TropicalNursery_Simplified.xlsx,1999
ALIVE,2002-496,K:LCD-2002-496*1,,Nymphaea 'Eldorado',Nymphaea,Nymphaeaceae,,,,10-11-2008,TropicalNursery_Simplified.xlsx,2002
ALIVE,2011-317,K:LCD-2011-317*1,,Bijlia dilatata,Bijlia,Aizoaceae,,,,12-12-2023,TropicalNursery_Simplified.xlsx,2011
ALIVE,1973-19558,K:LCD-1973-19558*2,Strobilanthes alternata,Hemigraphis alternata,Hemigraphis,Acanthaceae,,,,29-06-2022,TropicalNursery_Simplified.xlsx,1973
ALIVE,1970-4998,K:LCD-1970-4998*1,Phymatosorus nigrescens,Microsorum nigrescens,Microsorum,Polypodiaceae,,N - Natural Source and Progeny,India,05-07-2022,TropicalNursery_Simplified.xlsx,1970
ALIVE,1974-2453,K:LCD-1974-2453*1,Haworthiopsis reinwardtii,Haworthia reinwardtii,Haworthia,Asphodelaceae,,,,24-11-2021,TropicalNursery_Simplified.xlsx,1974
